marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix,BonusMalus,Rejets CO2 g/km,Cout enerie
AUDI,A2 1.4,75,courte,5,5,blanc,true,12817,8000.72,26.10,191.60
AUDI,A2 1.4,75,courte,5,5,blanc,false,18310,8000.72,26.10,191.60
AUDI,A2 1.4,75,courte,5,5,rouge,false,18310,8000.72,26.10,191.60
AUDI,A2 1.4,75,courte,5,5,noir,false,18310,8000.72,26.10,191.60
AUDI,A2 1.4,75,courte,5,5,gris,true,12817,8000.72,26.10,191.60
AUDI,A2 1.4,75,courte,5,5,rouge,true,12817,8000.72,26.10,191.60
AUDI,A2 1.4,75,courte,5,5,bleu,true,12817,8000.72,26.10,191.60
AUDI,A2 1.4,75,courte,5,5,gris,false,18310,8000.72,26.10,191.60
AUDI,A2 1.4,75,courte,5,5,bleu,false,18310,8000.72,26.10,191.60
AUDI,A2 1.4,75,courte,5,5,noir,true,12817,8000.72,26.10,191.60
AUDI,A3 2.0 FSI,150,moyenne,5,5,rouge,true,19950,8000.72,26.10,191.60
AUDI,A3 2.0 FSI,150,moyenne,5,5,gris,false,28500,8000.72,26.10,191.60
AUDI,A3 2.0 FSI,150,moyenne,5,5,bleu,false,28500,8000.72,26.10,191.60
AUDI,A3 2.0 FSI,150,moyenne,5,5,bleu,true,19950,8000.72,26.10,191.60
AUDI,A3 2.0 FSI,150,moyenne,5,5,blanc,true,19950,8000.72,26.10,191.60
AUDI,A3 2.0 FSI,150,moyenne,5,5,blanc,false,28500,8000.72,26.10,191.60
AUDI,A3 2.0 FSI,150,moyenne,5,5,gris,true,19950,8000.72,26.10,191.60
AUDI,A3 2.0 FSI,150,moyenne,5,5,rouge,false,28500,8000.72,26.10,191.60
AUDI,A3 2.0 FSI,150,moyenne,5,5,noir,false,28500,8000.72,26.10,191.60
AUDI,A3 2.0 FSI,150,moyenne,5,5,noir,true,19950,8000.72,26.10,191.60
BMW,120i,150,moyenne,5,5,rouge,false,35800,8012.53,39.26,80.53
BMW,120i,150,moyenne,5,5,noir,false,35800,8012.53,39.26,80.53
BMW,120i,150,moyenne,5,5,blanc,true,25060,8012.53,39.26,80.53
BMW,120i,150,moyenne,5,5,noir,true,25060,8012.53,39.26,80.53
BMW,120i,150,moyenne,5,5,gris,true,25060,8012.53,39.26,80.53
BMW,120i,150,moyenne,5,5,bleu,true,25060,8012.53,39.26,80.53
BMW,120i,150,moyenne,5,5,gris,false,35800,8012.53,39.26,80.53
BMW,120i,150,moyenne,5,5,blanc,false,35800,8012.53,39.26,80.53
BMW,120i,150,moyenne,5,5,bleu,false,35800,8012.53,39.26,80.53
BMW,120i,150,moyenne,5,5,rouge,true,25060,8012.53,39.26,80.53
BMW,M5,507,tr�s longue,5,5,noir,true,66360,8012.53,39.26,80.53
BMW,M5,507,tr�s longue,5,5,rouge,false,94800,8012.53,39.26,80.53
BMW,M5,507,tr�s longue,5,5,gris,true,66360,8012.53,39.26,80.53
BMW,M5,507,tr�s longue,5,5,bleu,false,94800,8012.53,39.26,80.53
BMW,M5,507,tr�s longue,5,5,blanc,true,66360,8012.53,39.26,80.53
BMW,M5,507,tr�s longue,5,5,rouge,true,66360,8012.53,39.26,80.53
BMW,M5,507,tr�s longue,5,5,noir,false,94800,8012.53,39.26,80.53
BMW,M5,507,tr�s longue,5,5,blanc,false,94800,8012.53,39.26,80.53
BMW,M5,507,tr�s longue,5,5,gris,false,94800,8012.53,39.26,80.53
BMW,M5,507,tr�s longue,5,5,bleu,true,66360,8012.53,39.26,80.53
DACIA,Logan 1.6 MPI,90,moyenne,5,5,bleu,false,7500,8024.47,139.27,561.46
DACIA,Logan 1.6 MPI,90,moyenne,5,5,gris,false,7500,8024.47,139.27,561.46
DACIA,Logan 1.6 MPI,90,moyenne,5,5,noir,false,7500,8024.47,139.27,561.46
DACIA,Logan 1.6 MPI,90,moyenne,5,5,rouge,false,7500,8024.47,139.27,561.46
DACIA,Logan 1.6 MPI,90,moyenne,5,5,blanc,false,7500,8024.47,139.27,561.46
DAIHATSU,Cuore 1.0,58,courte,5,3,gris,false,8850,8024.47,139.27,561.46
DAIHATSU,Cuore 1.0,58,courte,5,3,bleu,false,8850,8024.47,139.27,561.46
DAIHATSU,Cuore 1.0,58,courte,5,3,rouge,false,8850,8024.47,139.27,561.46
DAIHATSU,Cuore 1.0,58,courte,5,3,blanc,false,8850,8024.47,139.27,561.46
DAIHATSU,Cuore 1.0,58,courte,5,3,noir,false,8850,8024.47,139.27,561.46
FIAT,Croma 2.2,147,longue,5,5,blanc,false,24780,8024.47,139.27,561.46
FIAT,Croma 2.2,147,longue,5,5,gris,false,24780,8024.47,139.27,561.46
FIAT,Croma 2.2,147,longue,5,5,noir,false,24780,8024.47,139.27,561.46
FIAT,Croma 2.2,147,longue,5,5,noir,true,17346,8024.47,139.27,561.46
FIAT,Croma 2.2,147,longue,5,5,bleu,false,24780,8024.47,139.27,561.46
FIAT,Croma 2.2,147,longue,5,5,rouge,false,24780,8024.47,139.27,561.46
FIAT,Croma 2.2,147,longue,5,5,gris,true,17346,8024.47,139.27,561.46
FIAT,Croma 2.2,147,longue,5,5,rouge,true,17346,8024.47,139.27,561.46
FIAT,Croma 2.2,147,longue,5,5,bleu,true,17346,8024.47,139.27,561.46
FIAT,Croma 2.2,147,longue,5,5,blanc,true,17346,8024.47,139.27,561.46
FORD,Mondeo 1.8,125,longue,5,5,gris,false,23900,8024.47,139.27,561.46
FORD,Mondeo 1.8,125,longue,5,5,noir,false,23900,8024.47,139.27,561.46
FORD,Mondeo 1.8,125,longue,5,5,rouge,false,23900,8024.47,139.27,561.46
FORD,Mondeo 1.8,125,longue,5,5,blanc,false,23900,8024.47,139.27,561.46
FORD,Mondeo 1.8,125,longue,5,5,bleu,false,23900,8024.47,139.27,561.46
FORD,Mondeo 1.8,125,longue,5,5,rouge,true,16730,8024.47,139.27,561.46
FORD,Mondeo 1.8,125,longue,5,5,noir,true,16730,8024.47,139.27,561.46
FORD,Mondeo 1.8,125,longue,5,5,bleu,true,16730,8024.47,139.27,561.46
FORD,Mondeo 1.8,125,longue,5,5,gris,true,16730,8024.47,139.27,561.46
FORD,Mondeo 1.8,125,longue,5,5,blanc,true,16730,8024.47,139.27,561.46
HONDA,FR-V 1.7,125,longue,7,5,rouge,false,19550,8024.47,139.27,561.46
HONDA,FR-V 1.7,125,longue,7,5,blanc,false,19550,8024.47,139.27,561.46
HONDA,FR-V 1.7,125,longue,7,5,gris,false,19550,8024.47,139.27,561.46
HONDA,FR-V 1.7,125,longue,7,5,bleu,false,19550,8024.47,139.27,561.46
HONDA,FR-V 1.7,125,longue,7,5,noir,false,19550,8024.47,139.27,561.46
HYUNDA�,Matrix 1.6,103,longue,7,5,rouge,false,15960,8024.47,139.27,561.46
HYUNDA�,Matrix 1.6,103,longue,7,5,noir,false,15960,8024.47,139.27,561.46
HYUNDA�,Matrix 1.6,103,longue,7,5,gris,false,15960,8024.47,139.27,561.46
HYUNDA�,Matrix 1.6,103,longue,7,5,blanc,false,15960,8024.47,139.27,561.46
HYUNDA�,Matrix 1.6,103,longue,7,5,bleu,false,15960,8024.47,139.27,561.46
JAGUAR,X-Type 2.5 V6,197,longue,5,5,noir,false,37100,6000.00,0.00,271.00
JAGUAR,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100,6000.00,0.00,271.00
JAGUAR,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100,6000.00,0.00,271.00
JAGUAR,X-Type 2.5 V6,197,longue,5,5,noir,true,25970,6000.00,0.00,271.00
JAGUAR,X-Type 2.5 V6,197,longue,5,5,gris,true,25970,6000.00,0.00,271.00
JAGUAR,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970,6000.00,0.00,271.00
JAGUAR,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100,6000.00,0.00,271.00
JAGUAR,X-Type 2.5 V6,197,longue,5,5,rouge,true,25970,6000.00,0.00,271.00
JAGUAR,X-Type 2.5 V6,197,longue,5,5,blanc,true,25970,6000.00,0.00,271.00
JAGUAR,X-Type 2.5 V6,197,longue,5,5,gris,false,37100,6000.00,0.00,271.00
KIA,Picanto 1.1,65,courte,5,5,rouge,false,8990,8000.72,10.33,157.67
KIA,Picanto 1.1,65,courte,5,5,noir,false,8990,8000.72,10.33,157.67
KIA,Picanto 1.1,65,courte,5,5,bleu,false,8990,8000.72,10.33,157.67
KIA,Picanto 1.1,65,courte,5,5,gris,false,8990,8000.72,10.33,157.67
KIA,Picanto 1.1,65,courte,5,5,blanc,false,8990,8000.72,10.33,157.67
LANCIA,Ypsilon 1.4 16V,90,courte,5,3,blanc,false,13500,8024.47,139.27,561.46
LANCIA,Ypsilon 1.4 16V,90,courte,5,3,noir,true,9450,8024.47,139.27,561.46
LANCIA,Ypsilon 1.4 16V,90,courte,5,3,blanc,true,9450,8024.47,139.27,561.46
LANCIA,Ypsilon 1.4 16V,90,courte,5,3,gris,true,9450,8024.47,139.27,561.46
LANCIA,Ypsilon 1.4 16V,90,courte,5,3,rouge,true,9450,8024.47,139.27,561.46
LANCIA,Ypsilon 1.4 16V,90,courte,5,3,noir,false,13500,8024.47,139.27,561.46
LANCIA,Ypsilon 1.4 16V,90,courte,5,3,bleu,false,13500,8024.47,139.27,561.46
LANCIA,Ypsilon 1.4 16V,90,courte,5,3,gris,false,13500,8024.47,139.27,561.46
LANCIA,Ypsilon 1.4 16V,90,courte,5,3,bleu,true,9450,8024.47,139.27,561.46
LANCIA,Ypsilon 1.4 16V,90,courte,5,3,rouge,false,13500,8024.47,139.27,561.46
MARQUE,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix,8024.47,139.27,561.46
MERCEDES,A200,136,moyenne,5,5,gris,true,18130,8366.39,187.63,749.98
MERCEDES,A200,136,moyenne,5,5,bleu,true,18130,8366.39,187.63,749.98
MERCEDES,A200,136,moyenne,5,5,rouge,false,25900,8366.39,187.63,749.98
MERCEDES,A200,136,moyenne,5,5,noir,true,18130,8366.39,187.63,749.98
MERCEDES,A200,136,moyenne,5,5,rouge,true,18130,8366.39,187.63,749.98
MERCEDES,A200,136,moyenne,5,5,blanc,true,18130,8366.39,187.63,749.98
MERCEDES,A200,136,moyenne,5,5,noir,false,25900,8366.39,187.63,749.98
MERCEDES,A200,136,moyenne,5,5,blanc,false,25900,8366.39,187.63,749.98
MERCEDES,S500,306,tr�s longue,5,5,gris,false,101300,8366.39,187.63,749.98
MERCEDES,S500,306,tr�s longue,5,5,rouge,false,101300,8366.39,187.63,749.98
MERCEDES,S500,306,tr�s longue,5,5,blanc,false,101300,8366.39,187.63,749.98
MERCEDES,S500,306,tr�s longue,5,5,noir,false,101300,8366.39,187.63,749.98
MERCEDES,S500,306,tr�s longue,5,5,gris,true,70910,8366.39,187.63,749.98
MERCEDES,S500,306,tr�s longue,5,5,bleu,false,101300,8366.39,187.63,749.98
MERCEDES,A200,136,moyenne,5,5,gris,false,25900,8366.39,187.63,749.98
MERCEDES,S500,306,tr�s longue,5,5,blanc,true,70910,8366.39,187.63,749.98
MERCEDES,S500,306,tr�s longue,5,5,rouge,true,70910,8366.39,187.63,749.98
MERCEDES,S500,306,tr�s longue,5,5,bleu,true,70910,8366.39,187.63,749.98
MERCEDES,S500,306,tr�s longue,5,5,noir,true,70910,8366.39,187.63,749.98
MERCEDES,A200,136,moyenne,5,5,bleu,false,25900,8366.39,187.63,749.98
MINI,Copper 1.6 16V,115,courte,5,5,noir,false,18200,8018.48,21.50,126.00
MINI,Copper 1.6 16V,115,courte,5,5,rouge,false,18200,8018.48,21.50,126.00
MINI,Copper 1.6 16V,115,courte,5,5,bleu,false,18200,8018.48,21.50,126.00
MINI,Copper 1.6 16V,115,courte,5,5,gris,false,18200,8018.48,21.50,126.00
MINI,Copper 1.6 16V,115,courte,5,5,blanc,true,12740,8018.48,21.50,126.00
MINI,Copper 1.6 16V,115,courte,5,5,noir,true,12740,8018.48,21.50,126.00
MINI,Copper 1.6 16V,115,courte,5,5,rouge,true,12740,8018.48,21.50,126.00
MINI,Copper 1.6 16V,115,courte,5,5,bleu,true,12740,8018.48,21.50,126.00
MINI,Copper 1.6 16V,115,courte,5,5,gris,true,12740,8018.48,21.50,126.00
MINI,Copper 1.6 16V,115,courte,5,5,blanc,false,18200,8018.48,21.50,126.00
NISSAN,Almera 1.8,115,moyenne,5,5,blanc,false,16450,8202.40,160.00,681.20
NISSAN,Almera 1.8,115,moyenne,5,5,rouge,false,16450,8202.40,160.00,681.20
NISSAN,Almera 1.8,115,moyenne,5,5,noir,false,16450,8202.40,160.00,681.20
NISSAN,Almera 1.8,115,moyenne,5,5,bleu,false,16450,8202.40,160.00,681.20
NISSAN,Almera 1.8,115,moyenne,5,5,gris,false,16450,8202.40,160.00,681.20
NISSAN,Maxima 3.0 V6,200,tr�s longue,5,5,blanc,false,30000,8202.40,160.00,681.20
NISSAN,Maxima 3.0 V6,200,tr�s longue,5,5,rouge,false,30000,8202.40,160.00,681.20
NISSAN,Maxima 3.0 V6,200,tr�s longue,5,5,bleu,false,30000,8202.40,160.00,681.20
NISSAN,Maxima 3.0 V6,200,tr�s longue,5,5,gris,false,30000,8202.40,160.00,681.20
NISSAN,Maxima 3.0 V6,200,tr�s longue,5,5,noir,false,30000,8202.40,160.00,681.20
NISSAN,Primera 1.6,109,longue,5,5,blanc,false,18650,8202.40,160.00,681.20
NISSAN,Primera 1.6,109,longue,5,5,gris,false,18650,8202.40,160.00,681.20
NISSAN,Primera 1.6,109,longue,5,5,rouge,false,18650,8202.40,160.00,681.20
NISSAN,Primera 1.6,109,longue,5,5,bleu,false,18650,8202.40,160.00,681.20
NISSAN,Primera 1.6,109,longue,5,5,noir,false,18650,8202.40,160.00,681.20
PEUGEOT,1007 1.4,75,courte,5,5,noir,false,13750,6000.00,15.83,144.17
PEUGEOT,1007 1.4,75,courte,5,5,rouge,true,9625,6000.00,15.83,144.17
PEUGEOT,1007 1.4,75,courte,5,5,bleu,true,9625,6000.00,15.83,144.17
PEUGEOT,1007 1.4,75,courte,5,5,blanc,false,13750,6000.00,15.83,144.17
PEUGEOT,1007 1.4,75,courte,5,5,gris,true,9625,6000.00,15.83,144.17
PEUGEOT,1007 1.4,75,courte,5,5,rouge,false,13750,6000.00,15.83,144.17
PEUGEOT,1007 1.4,75,courte,5,5,bleu,false,13750,6000.00,15.83,144.17
PEUGEOT,1007 1.4,75,courte,5,5,blanc,true,9625,6000.00,15.83,144.17
PEUGEOT,1007 1.4,75,courte,5,5,gris,false,13750,6000.00,15.83,144.17
PEUGEOT,1007 1.4,75,courte,5,5,noir,true,9625,6000.00,15.83,144.17
RENAULT,Megane 2.0 16V,135,moyenne,5,5,bleu,true,15644,6000.00,0.00,206.00
RENAULT,Espace 2.0T,165,longue,7,5,gris,false,30350,6000.00,0.00,206.00
RENAULT,Espace 2.0T,165,longue,7,5,blanc,false,30350,6000.00,0.00,206.00
RENAULT,Espace 2.0T,165,longue,7,5,rouge,false,30350,6000.00,0.00,206.00
RENAULT,Espace 2.0T,165,longue,7,5,bleu,false,30350,6000.00,0.00,206.00
RENAULT,Espace 2.0T,165,longue,7,5,noir,false,30350,6000.00,0.00,206.00
RENAULT,Espace 2.0T,165,longue,7,5,blanc,true,21245,6000.00,0.00,206.00
RENAULT,Espace 2.0T,165,longue,7,5,rouge,true,21245,6000.00,0.00,206.00
RENAULT,Espace 2.0T,165,longue,7,5,noir,true,21245,6000.00,0.00,206.00
RENAULT,Espace 2.0T,165,longue,7,5,bleu,true,21245,6000.00,0.00,206.00
RENAULT,Espace 2.0T,165,longue,7,5,gris,true,21245,6000.00,0.00,206.00
RENAULT,Laguna 2.0T,170,longue,5,5,blanc,false,27300,6000.00,0.00,206.00
RENAULT,Laguna 2.0T,170,longue,5,5,noir,false,27300,6000.00,0.00,206.00
RENAULT,Laguna 2.0T,170,longue,5,5,rouge,false,27300,6000.00,0.00,206.00
RENAULT,Laguna 2.0T,170,longue,5,5,bleu,false,27300,6000.00,0.00,206.00
RENAULT,Laguna 2.0T,170,longue,5,5,gris,false,27300,6000.00,0.00,206.00
RENAULT,Laguna 2.0T,170,longue,5,5,noir,true,19110,6000.00,0.00,206.00
RENAULT,Laguna 2.0T,170,longue,5,5,blanc,true,19110,6000.00,0.00,206.00
RENAULT,Laguna 2.0T,170,longue,5,5,bleu,true,19110,6000.00,0.00,206.00
RENAULT,Laguna 2.0T,170,longue,5,5,gris,true,19110,6000.00,0.00,206.00
RENAULT,Laguna 2.0T,170,longue,5,5,rouge,true,19110,6000.00,0.00,206.00
RENAULT,Megane 2.0 16V,135,moyenne,5,5,rouge,false,22350,6000.00,0.00,206.00
RENAULT,Megane 2.0 16V,135,moyenne,5,5,noir,false,22350,6000.00,0.00,206.00
RENAULT,Megane 2.0 16V,135,moyenne,5,5,blanc,false,22350,6000.00,0.00,206.00
RENAULT,Megane 2.0 16V,135,moyenne,5,5,bleu,false,22350,6000.00,0.00,206.00
RENAULT,Megane 2.0 16V,135,moyenne,5,5,gris,false,22350,6000.00,0.00,206.00
RENAULT,Megane 2.0 16V,135,moyenne,5,5,noir,true,15644,6000.00,0.00,206.00
RENAULT,Megane 2.0 16V,135,moyenne,5,5,blanc,true,15644,6000.00,0.00,206.00
RENAULT,Megane 2.0 16V,135,moyenne,5,5,rouge,true,15644,6000.00,0.00,206.00
RENAULT,Megane 2.0 16V,135,moyenne,5,5,gris,true,15644,6000.00,0.00,206.00
RENAULT,Vel Satis 3.5 V6,245,tr�s longue,5,5,rouge,false,49200,6000.00,0.00,206.00
RENAULT,Vel Satis 3.5 V6,245,tr�s longue,5,5,noir,false,49200,6000.00,0.00,206.00
RENAULT,Vel Satis 3.5 V6,245,tr�s longue,5,5,blanc,false,49200,6000.00,0.00,206.00
RENAULT,Vel Satis 3.5 V6,245,tr�s longue,5,5,bleu,false,49200,6000.00,0.00,206.00
RENAULT,Vel Satis 3.5 V6,245,tr�s longue,5,5,gris,false,49200,6000.00,0.00,206.00
RENAULT,Vel Satis 3.5 V6,245,tr�s longue,5,5,blanc,true,34440,6000.00,0.00,206.00
RENAULT,Vel Satis 3.5 V6,245,tr�s longue,5,5,rouge,true,34440,6000.00,0.00,206.00
RENAULT,Vel Satis 3.5 V6,245,tr�s longue,5,5,bleu,true,34440,6000.00,0.00,206.00
RENAULT,Vel Satis 3.5 V6,245,tr�s longue,5,5,noir,true,34440,6000.00,0.00,206.00
RENAULT,Vel Satis 3.5 V6,245,tr�s longue,5,5,gris,true,34440,6000.00,0.00,206.00
SAAB,9.3 1.8T,150,longue,5,5,blanc,false,38600,8024.47,139.27,561.46
SAAB,9.3 1.8T,150,longue,5,5,bleu,false,38600,8024.47,139.27,561.46
SAAB,9.3 1.8T,150,longue,5,5,gris,false,38600,8024.47,139.27,561.46
SAAB,9.3 1.8T,150,longue,5,5,noir,true,27020,8024.47,139.27,561.46
SAAB,9.3 1.8T,150,longue,5,5,rouge,false,38600,8024.47,139.27,561.46
SAAB,9.3 1.8T,150,longue,5,5,bleu,true,27020,8024.47,139.27,561.46
SAAB,9.3 1.8T,150,longue,5,5,gris,true,27020,8024.47,139.27,561.46
SAAB,9.3 1.8T,150,longue,5,5,rouge,true,27020,8024.47,139.27,561.46
SAAB,9.3 1.8T,150,longue,5,5,blanc,true,27020,8024.47,139.27,561.46
SAAB,9.3 1.8T,150,longue,5,5,noir,false,38600,8024.47,139.27,561.46
SEAT,Toledo 1.6,102,longue,5,5,gris,false,18880,8024.47,139.27,561.46
SEAT,Toledo 1.6,102,longue,5,5,bleu,false,18880,8024.47,139.27,561.46
SEAT,Toledo 1.6,102,longue,5,5,rouge,false,18880,8024.47,139.27,561.46
SEAT,Toledo 1.6,102,longue,5,5,noir,false,18880,8024.47,139.27,561.46
SEAT,Toledo 1.6,102,longue,5,5,blanc,false,18880,8024.47,139.27,561.46
SKODA,Superb 2.8 V6,193,tr�s longue,5,5,gris,false,31790,8018.48,27.56,98.89
SKODA,Superb 2.8 V6,193,tr�s longue,5,5,rouge,false,31790,8018.48,27.56,98.89
SKODA,Superb 2.8 V6,193,tr�s longue,5,5,noir,false,31790,8018.48,27.56,98.89
SKODA,Superb 2.8 V6,193,tr�s longue,5,5,bleu,false,31790,8018.48,27.56,98.89
SKODA,Superb 2.8 V6,193,tr�s longue,5,5,blanc,false,31790,8018.48,27.56,98.89
VOLKSWAGEN,Polo 1.2 6V,55,courte,5,3,rouge,true,8540,8000.72,23.43,96.00
VOLKSWAGEN,Golf 2.0 FSI,150,moyenne,5,5,gris,false,22900,8000.72,23.43,96.00
VOLKSWAGEN,Golf 2.0 FSI,150,moyenne,5,5,rouge,false,22900,8000.72,23.43,96.00
VOLKSWAGEN,Golf 2.0 FSI,150,moyenne,5,5,bleu,false,22900,8000.72,23.43,96.00
VOLKSWAGEN,Golf 2.0 FSI,150,moyenne,5,5,noir,false,22900,8000.72,23.43,96.00
VOLKSWAGEN,Golf 2.0 FSI,150,moyenne,5,5,blanc,false,22900,8000.72,23.43,96.00
VOLKSWAGEN,Golf 2.0 FSI,150,moyenne,5,5,noir,true,16029,8000.72,23.43,96.00
VOLKSWAGEN,Golf 2.0 FSI,150,moyenne,5,5,blanc,true,16029,8000.72,23.43,96.00
VOLKSWAGEN,Golf 2.0 FSI,150,moyenne,5,5,bleu,true,16029,8000.72,23.43,96.00
VOLKSWAGEN,Golf 2.0 FSI,150,moyenne,5,5,gris,true,16029,8000.72,23.43,96.00
VOLKSWAGEN,Golf 2.0 FSI,150,moyenne,5,5,rouge,true,16029,8000.72,23.43,96.00
VOLKSWAGEN,New Beatle 1.8,110,moyenne,5,5,noir,false,26630,8000.72,23.43,96.00
VOLKSWAGEN,New Beatle 1.8,110,moyenne,5,5,blanc,false,26630,8000.72,23.43,96.00
VOLKSWAGEN,New Beatle 1.8,110,moyenne,5,5,bleu,false,26630,8000.72,23.43,96.00
VOLKSWAGEN,New Beatle 1.8,110,moyenne,5,5,gris,false,26630,8000.72,23.43,96.00
VOLKSWAGEN,New Beatle 1.8,110,moyenne,5,5,rouge,false,26630,8000.72,23.43,96.00
VOLKSWAGEN,New Beatle 1.8,110,moyenne,5,5,bleu,true,18641,8000.72,23.43,96.00
VOLKSWAGEN,New Beatle 1.8,110,moyenne,5,5,rouge,true,18641,8000.72,23.43,96.00
VOLKSWAGEN,New Beatle 1.8,110,moyenne,5,5,noir,true,18641,8000.72,23.43,96.00
VOLKSWAGEN,New Beatle 1.8,110,moyenne,5,5,blanc,true,18641,8000.72,23.43,96.00
VOLKSWAGEN,Polo 1.2 6V,55,courte,5,3,gris,true,8540,8000.72,23.43,96.00
VOLKSWAGEN,Polo 1.2 6V,55,courte,5,3,gris,false,12200,8000.72,23.43,96.00
VOLKSWAGEN,Polo 1.2 6V,55,courte,5,3,rouge,false,12200,8000.72,23.43,96.00
VOLKSWAGEN,Polo 1.2 6V,55,courte,5,3,bleu,false,12200,8000.72,23.43,96.00
VOLKSWAGEN,Polo 1.2 6V,55,courte,5,3,bleu,true,8540,8000.72,23.43,96.00
VOLKSWAGEN,Polo 1.2 6V,55,courte,5,3,noir,true,8540,8000.72,23.43,96.00
VOLKSWAGEN,Polo 1.2 6V,55,courte,5,3,noir,false,12200,8000.72,23.43,96.00
VOLKSWAGEN,Polo 1.2 6V,55,courte,5,3,blanc,false,12200,8000.72,23.43,96.00
VOLKSWAGEN,Polo 1.2 6V,55,courte,5,3,blanc,true,8540,8000.72,23.43,96.00
VOLKSWAGEN,Touran 2.0 FSI,150,longue,7,5,noir,false,27340,8000.72,23.43,96.00
VOLKSWAGEN,Touran 2.0 FSI,150,longue,7,5,blanc,false,27340,8000.72,23.43,96.00
VOLKSWAGEN,Touran 2.0 FSI,150,longue,7,5,rouge,true,19138,8000.72,23.43,96.00
VOLKSWAGEN,Touran 2.0 FSI,150,longue,7,5,noir,true,19138,8000.72,23.43,96.00
VOLKSWAGEN,Touran 2.0 FSI,150,longue,7,5,blanc,true,19138,8000.72,23.43,96.00
VOLKSWAGEN,Touran 2.0 FSI,150,longue,7,5,bleu,false,27340,8000.72,23.43,96.00
VOLKSWAGEN,Touran 2.0 FSI,150,longue,7,5,gris,false,27340,8000.72,23.43,96.00
VOLKSWAGEN,Touran 2.0 FSI,150,longue,7,5,bleu,true,19138,8000.72,23.43,96.00
VOLKSWAGEN,Touran 2.0 FSI,150,longue,7,5,gris,true,19138,8000.72,23.43,96.00
VOLKSWAGEN,Touran 2.0 FSI,150,longue,7,5,rouge,false,27340,8000.72,23.43,96.00
VOLKSWAGEN,New Beatle 1.8,110,moyenne,5,5,gris,true,18641,8000.72,23.43,96.00
VOLVO,S80 T6,272,tr�s longue,5,5,blanc,true,35350,8024.47,42.45,72.73
VOLVO,S80 T6,272,tr�s longue,5,5,rouge,true,35350,8024.47,42.45,72.73
VOLVO,S80 T6,272,tr�s longue,5,5,bleu,false,50500,8024.47,42.45,72.73
VOLVO,S80 T6,272,tr�s longue,5,5,gris,false,50500,8024.47,42.45,72.73
VOLVO,S80 T6,272,tr�s longue,5,5,bleu,true,35350,8024.47,42.45,72.73
VOLVO,S80 T6,272,tr�s longue,5,5,gris,true,35350,8024.47,42.45,72.73
VOLVO,S80 T6,272,tr�s longue,5,5,rouge,false,50500,8024.47,42.45,72.73
VOLVO,S80 T6,272,tr�s longue,5,5,noir,false,50500,8024.47,42.45,72.73
VOLVO,S80 T6,272,tr�s longue,5,5,blanc,false,50500,8024.47,42.45,72.73
VOLVO,S80 T6,272,tr�s longue,5,5,noir,true,35350,8024.47,42.45,72.73